GameID,Game,BiP,TotalTime,BiPTT%,Temp,Humidity,TotalBiP,TotalGameTime,PossessionT1,PossessionT2
1,Russia v Saudi Arabia,57,96,59,17,43,00:57:18,01:36:48,00:22:54,00:34:24
2,Egypt v Uruguay,64,97,66,14,42,01:04:15,01:37:21,00:27:39,00:36:36
3,Morocco v Iran,45,98,46,25,37,00:45:57,01:38:07,00:29:11,00:16:46
4,Portugal v Spain,58,95,61,24,74,00:58:48,01:35:58,00:22:18,00:36:32
5,France v Australia,56,96,58,19,32,00:56:21,01:36:36,00:28:55,00:27:26
6,Argentina v Iceland,62,92,67,22,33,01:02:48,01:36:11,00:45:11,00:17:37
7,Peru v Denmark,53,98,54,18,48,00:53:23,01:38:10,00:27:45,00:25:38
8,Croatia v Nigeria,55,96,57,20,64,00:55:14,01:36:04,00:29:27,00:25:47
9,Costa Rica v Serbia,58,99,59,22,32,00:58:35,01:39:42,00:29:25,00:29:10
10,Germany v Mexico,56,94,60,23,42,00:56:35,01:34:13,00:35:42,00:23:53
11,Brazil v Switzerland,62,98,63,25,27,01:02:25,01:38:57,00:32:46,00:29:39
12,Sweden v Korea,53,96,55,25,36,00:53:23,01:36:26,00:27:31,00:25:52
13,Belgium v Panama,55,96,57,24,71,00:55:07,01:36:15,00:33:29,00:21:38
14,Tunisia v England,49,97,51,24,17,00:49:49,01:37:17,00:20:08,00:29:31
15,Colombia v Japan,59,96,61,27,38,00:59:02,01:36:12,00:24:19,00:34:43
16,Poland v Senegal,55,96,57,27,40,00:55:06,01:36:36,00:34:11,00:23:53
17,Russia v Egypt,53,94,56,15,83,00:53:36,01:34:14,00:25:11,00:28:25
18,Portugal v Morocco,53,98,54,20,33,00:53:10,01:38:08,00:24:46,00:28:24
19,Uruguay v Saudi Arabia,60,96,63,32,26,01:00:53,01:36:07,00:28:44,00:32:09
20,Iran v Spain,53,97,55,18,48,00:53:07,01:37:17,00:17:19,00:38:08
